TotalCosts RejectionRate 
1.05737e+07 0.932774
7.79173e+06 0.999505
7.78718e+06 0.999515
7.76941e+06 0.999504
7.82694e+06 0.999526
7.77724e+06 0.999533
7.78767e+06 0.999529
7.79843e+06 0.999538
7.7953e+06 0.999534
7.77014e+06 0.999532
7.7713e+06 0.999532
7.78541e+06 0.999533
7.77108e+06 0.999532
7.78198e+06 0.999537
7.76837e+06 0.999537
7.80509e+06 0.999539
7.78158e+06 0.999537
7.75609e+06 0.999536
7.78432e+06 0.999537
7.78421e+06 0.999538
7.76657e+06 0.999537
7.73989e+06 0.999535
7.78964e+06 0.999538
7.74439e+06 0.999535
7.78302e+06 0.999537
7.7575e+06 0.999536
7.78244e+06 0.999537
7.77133e+06 0.999532
7.76459e+06 0.999536
7.80088e+06 0.999539
7.78586e+06 0.999538
7.77568e+06 0.999537
7.78558e+06 0.999538
7.73687e+06 0.999535
7.77341e+06 0.999537
7.78486e+06 0.999538
7.73665e+06 0.999535
7.75998e+06 0.999536
7.77589e+06 0.999537
7.76441e+06 0.999536
7.75681e+06 0.999536
7.77762e+06 0.999537
7.80469e+06 0.999539
7.74605e+06 0.999535
7.74436e+06 0.999535
7.73993e+06 0.999535
7.78774e+06 0.999538
7.77434e+06 0.999537
7.78165e+06 0.999537
7.76358e+06 0.999536
7.75793e+06 0.999536
7.80325e+06 0.999539
7.75084e+06 0.999536
7.79911e+06 0.999538
7.76117e+06 0.999536
7.79472e+06 0.999538
7.76848e+06 0.999537
7.75976e+06 0.999536
7.78054e+06 0.999537
7.78651e+06 0.999538
7.7945e+06 0.999538
7.77452e+06 0.999537
7.74263e+06 0.999535
7.7864e+06 0.999538
7.7872e+06 0.999538
7.79908e+06 0.999538
7.77143e+06 0.999537
7.7643e+06 0.999536
7.78878e+06 0.999538
7.76299e+06 0.999532
7.7346e+06 0.999535
7.77895e+06 0.999537
7.79659e+06 0.999538
7.77942e+06 0.999537
7.77946e+06 0.999537
7.76261e+06 0.999536
7.76815e+06 0.999537
7.80926e+06 0.999539
7.79735e+06 0.999538
7.77499e+06 0.999537
